text,category
Бұл тапсырма қалай орындалады?,task
Бұл тапсырма қалай?,task
Бұл ән қалай орындалады?,task
Бұл берілген тапсырма қалай орындалады?,task
Бұл тапсырма сабақта қалай орындалады?,task
Мен бұл жаттығушыны орындау үшін не істеймін,task
Мен бұл жаттығушыны құтқару үшін не істеймін?,task
Мен бұл жаттығушыны орындау үшін не істеймін?,task
Мен бұл жаттығушыны орындауым үшін не істеймін?,task
Мен бұл жаттығушыны орындау үшін мен не істеймін?,task
Мен бұл әрекетті жаттығушыны орындау үшін не істеймін?,task
Мен енді бұл жаттығушыны орындау үшін не істеймін?,task
Бұл есепті шығару үшін қай формуланы қолдану керек?,task
Бұл есепті шешу үшін қай әдісті қолдану керек?,task
Бұл есепті шешу үшін қай формуланы қолдану керек,task
Бұл есепті шешу үшін қай формуланы қолдану керек?,task
Бұл есепті шешу үшін қандай формуланы қолдану керек?,task
"Бұл есепті шешу үшін, қай формуланы қолдану керек?",task
Бұл есепті шешу үшін қай математикалық формуланы қолдану керек?,task
Бұл есепті шешу үшін қай формуланы дұрыс қолдану керек?,task
Бұл есепті шешуіміз үшін қай формуланы қолдану керек?,task
Бұл есепті дұрыс шешу үшін қай формуланы қолдану керек?,task
Бұл берілген есепті шешу үшін қай формуланы қолдану керек?,task
Бұл жаттығуды орындау барысында қандай қиындықтар кездесті,task
Бұл тапсырманы орындау барысында қандай қиындықтар кездеседі?,task
Бұл жаттығуды орындау барысында қандай қиындықтар кездеседі?,task
Бұл жаттығуды орындау барысында қандай кедергілер кездеседі?,task
Бұл жаттығуды дұрыс орындау барысында қандай қиындықтар кездеседі?,task
Бұл жаттығуды орындау барысында балаларда қандай қиындықтар кездеседі?,task
Бұл жаттығуды орындау барысында барысында қандай қиындықтар кездеседі?,task
Бұл жаттығуды орындау барысында қандай қосымша қиындықтар кездеседі?,task
Бұл тапсырма бойынша жалпы тұсымым не болуы керек,task
Бұл тапсырма менің жалпы тұсымым не болуы керек?,task
Бұл тапсырма бойынша жалпы тұсымым не үшін керек?,task
Бұл тапсырма бойынша жалпы топта не болуы керек?,task
